date,total_cases,total_deaths,total_recovered
2020-03-03,1,0,1
2020-03-04,1,0,1
2020-03-05,1,0,1
2020-03-06,1,0,1
2020-03-07,1,0,1
2020-03-08,1,0,1
2020-03-09,1,0,1
2020-03-10,1,0,1
2020-03-11,1,0,1
2020-03-12,1,0,1
2020-03-13,3,1,2
2020-03-14,3,1,2
2020-03-15,3,1,2
2020-03-16,7,1,6
2020-03-17,14,2,12
2020-03-18,14,2,12
2020-03-19,16,2,14
2020-03-20,29,3,26
2020-03-21,47,3,44
2020-03-22,73,3,70
2020-03-23,73,3,70
2020-03-24,97,3,94
2020-03-25,145,5,140
2020-03-26,196,5,191
2020-03-27,310,5,305
2020-03-28,356,9,347
2020-03-29,475,10,465
2020-03-30,548,13,535
2020-03-31,645,17,628
2020-04-01,794,20,774
2020-04-02,897,22,875
2020-04-03,1072,27,1045
2020-04-04,1225,32,1193
2020-04-05,1308,37,1271
2020-04-06,1319,38,1281
2020-04-07,1462,45,1417
2020-04-08,1668,52,1616
2020-04-09,1892,57,1835
2020-04-10,2203,69,2134
2020-04-11,2511,73,2438
2020-04-12,2777,83,2694
2020-04-13,3102,93,3009
2020-04-14,3372,98,3274
2020-04-15,3764,108,3656
2020-04-16,4161,116,4045
2020-04-17,4662,125,4537
2020-04-18,5106,133,4973
2020-04-19,5449,141,5308
2020-04-20,5710,151,5559
2020-04-21,6125,161,5964
2020-04-22,6592,174,6418
2020-04-23,7170,187,6983
2020-04-24,7647,201,7446
2020-04-25,8125,201,7924
2020-04-26,8617,209,8408
2020-04-27,9009,220,8789
2020-04-28,9410,239,9171
2020-04-29,9866,250,9616
2020-04-30,10406,261,10145
2020-05-01,10861,272,10589
2020-05-02,11411,279,11132
2020-05-03,11913,288,11625
2020-05-04,12331,303,12028
2020-05-05,12697,316,12381
2020-05-06,13184,327,12857
2020-05-07,13691,340,13351
2020-05-08,14195,361,13834
2020-05-09,14710,376,14334
2020-05-10,15232,391,14841
2020-05-11,15648,408,15240
2020-05-12,16023,425,15598
2020-05-13,16425,439,15986
2020-05-14,16847,456,16391
2020-05-15,17330,476,16854
2020-05-16,17858,497,17361
2020-05-17,18291,514,17777
2020-05-18,18616,535,18081
2020-05-19,18876,548,18328
2020-05-20,19230,564,18666
2020-05-21,19706,579,19127
2020-05-22,20148,588,19560
2020-05-23,20580,605,19975
2020-05-24,20986,617,20369
2020-05-25,21245,623,20622
2020-05-26,21584,644,20940
2020-05-27,21905,658,21247
2020-05-28,22382,669,21713
2020-05-29,22811,679,22132
2020-05-30,23204,696,22508
2020-05-31,23672,708,22964
2020-06-01,24562,724,23838
2020-06-02,24895,733,24162
2020-06-03,25385,742,24643
2020-06-04,25981,755,25226
2020-06-05,26542,770,25772
2020-06-06,27101,785,26316
2020-06-07,27599,796,26803
2020-06-08,28077,805,27272
2020-06-09,28479,818,27661
2020-06-10,29015,841,28174
2020-06-11,29706,864,28842
2020-06-12,30415,880,29535
2020-06-13,31177,890,30287
2020-06-14,31851,899,30952
2020-06-15,32536,911,31625
2020-06-16,33209,922,32287
2020-06-17,33986,953,33033
2020-06-18,34833,976,33857
2020-06-19,35755,995,34760
2020-06-20,36615,1004,35611
2020-06-21,37361,1012,36349
2020-06-22,38056,1022,37034
2020-06-23,38901,1045,37856
2020-06-24,39852,1061,38791
2020-06-25,40854,1078,39776
2020-06-26,41975,1097,40878
2020-06-27,42932,1121,41811
2020-06-28,43856,1142,42714
2020-06-29,44538,1161,43377
2020-06-30,45254,1173,44081
2020-07-01,45924,1188,44736
2020-07-02,46821,1200,45621
2020-07-03,47705,1227,46478
2020-07-04,48628,1243,47385
2020-07-05,49468,1265,48203
2020-07-06,50053,1278,48775
2020-07-07,50622,1299,49323
2020-07-08,51457,1323,50134
2020-07-09,52285,1344,50941
2020-07-10,53116,1362,51754
2020-07-11,53941,1389,52552
2020-07-12,54647,1400,53247
2020-07-13,55285,1415,53870
2020-07-14,55931,1429,54502
2020-07-15,56779,1444,55335
2020-07-16,57640,1462,56178
2020-07-17,58466,1473,56993
2020-07-18,59333,1496,57837
2020-07-19,60077,1504,58573
2020-07-20,60767,1517,59250
2020-07-21,61454,1537,59917
2020-07-22,62295,1553,60742
2020-07-23,63169,1570,61599
2020-07-24,64173,1591,62582
2020-07-25,65317,1610,63707
2020-07-26,66261,1625,64636
2020-07-27,67096,1636,65460
2020-07-28,68030,1650,66380
2020-07-29,69078,1673,67405
2020-07-30,70300,1697,68603
2020-07-31,71404,1717,69687
2020-08-01,72609,1733,70876
2020-08-02,73761,1749,72012
2020-08-03,74781,1762,73019
2020-08-04,75880,1788,74092
2020-08-05,77169,1813,75356
2020-08-06,78515,1846,76669
2020-08-07,80018,1879,78139
2020-08-08,81534,1906,79628
2020-08-09,82767,1925,80842
2020-08-10,83812,1950,81862
2020-08-11,85023,1979,83044
2020-08-12,86504,1999,84505
2020-08-13,88136,2023,86113
2020-08-14,89917,2042,87875
2020-08-15,91795,2076,89719
2020-08-16,93490,2100,91390
2020-08-17,95007,2122,92885
2020-08-18,96653,2152,94501
2020-08-19,98658,2182,96476
2020-08-20,100810,2225,98585
2020-08-21,102948,2248,100700
2020-08-22,105337,2286,103051
2020-08-23,107379,2313,105066
2020-08-24,109234,2335,106899
2020-08-25,110949,2362,108587
2020-08-26,112653,2399,110254
2020-08-27,114663,2449,112214
2020-08-28,117172,2499,114673
2020-08-29,119751,2540,117211
2020-08-30,121930,2575,119355
2020-08-31,124132,2605,121527
2020-09-01,126279,2654,123625
2020-09-02,128833,2705,126128
2020-09-03,131300,2759,128541
2020-09-04,134069,2812,131257
2020-09-05,136966,2863,134103
2020-09-06,139171,2898,136273
2020-09-07,141424,2930,138494
2020-09-08,143914,2988,140926
2020-09-09,146511,3034,143477
2020-09-10,149146,3079,146067
2020-09-11,152373,3132,149241
2020-09-12,155558,3206,152352
2020-09-13,158122,3239,154883
2020-09-14,160679,3273,157406
2020-09-15,163678,3326,160352
2020-09-16,166694,3404,163290
2020-09-17,170373,3465,166908
2020-09-18,173703,3535,170168
2020-09-19,177048,3585,173463
2020-09-20,180119,3626,176493
2020-09-21,182900,3652,179248
2020-09-22,185890,3716,182174
2020-09-23,189488,3784,185704
2020-09-24,192966,3838,189128
2020-09-25,196631,3910,192721
2020-09-26,200566,3988,196578
2020-09-27,203799,4044,199755
2020-09-28,206579,4082,202497
2020-09-29,210309,4154,206155
2020-09-30,214446,4221,210225
2020-10-01,218625,4288,214337
2020-10-02,223376,4357,219019
2020-10-03,228161,4451,223710
2020-10-04,232424,4495,227929
2020-10-05,236329,4530,231799
2020-10-06,240811,4624,236187
2020-10-07,245698,4707,240991
2020-10-08,251243,4807,246436
2020-10-09,257204,4899,252305
2020-10-10,263105,5010,258095
2020-10-11,268065,5098,262967
2020-10-12,272671,5143,267528
2020-10-13,277982,5254,272728
2020-10-14,283762,5365,278397
2020-10-15,289022,5443,283579
2020-10-16,295227,5551,289676
2020-10-17,301856,5669,296187
2020-10-18,307301,5762,301539
2020-10-19,312287,5834,306453
2020-10-20,317967,5948,312019
2020-10-21,324942,6093,318849
2020-10-22,332262,6213,326049
2020-10-23,340042,6336,333706
2020-10-24,347317,6463,340854
2020-10-25,353723,6566,347157
2020-10-26,359348,6641,352707
2020-10-27,366233,6770,359463
2020-10-28,374023,6938,367085
2020-10-29,381664,7058,374606
2020-10-30,390272,7235,383037
2020-10-31,399330,7399,391931
2020-11-01,407573,7515,400058
2020-11-02,414567,7584,406983
2020-11-03,423683,7749,415934
2020-11-04,433492,7952,425540
2020-11-05,443630,8148,435482
2020-11-06,453565,8358,445207
2020-11-07,464598,8553,456045
2020-11-08,474245,8695,465550
2020-11-09,483153,8812,474341
2020-11-10,493544,9018,484526
2020-11-11,504423,9214,495209
2020-11-12,515755,9422,506333
2020-11-13,527808,9604,518204
2020-11-14,540593,9806,530787
2020-11-15,551533,9904,541629
2020-11-16,561581,10002,551579
2020-11-17,573758,10168,563590
2020-11-18,586522,10431,576091
2020-11-19,600152,10694,589458
2020-11-20,614986,10929,604057
2020-11-21,629850,11149,618701
2020-11-22,642215,11292,630923
2020-11-23,653442,11423,642019
2020-11-24,665968,11619,654349
2020-11-25,680132,11857,668275
2020-11-26,695755,12091,683664
2020-11-27,712249,12292,699957
2020-11-28,728834,12485,716349
2020-11-29,742105,12613,729492
2020-11-30,752343,12731,739612
2020-12-01,765117,12962,752155
2020-12-02,778560,13140,765420
2020-12-03,793372,13394,779978
2020-12-04,808828,13641,795187
2020-12-05,822985,13877,809108
2020-12-06,834913,14054,820859
2020-12-07,843898,14208,829690
2020-12-08,855054,14413,840641
2020-12-09,867991,14702,853289
2020-12-10,881727,14981,866746
2020-12-11,895620,15278,880342
2020-12-12,908839,15528,893311
2020-12-13,918444,15691,902753
2020-12-14,925321,15792,909529
2020-12-15,934161,16038,918123
2020-12-16,945218,16314,928904
2020-12-17,957692,16579,941113
2020-12-18,970758,16848,953910
2020-12-19,982937,17072,965865
2020-12-20,991700,17201,974499
2020-12-21,998678,17293,981385
2020-12-22,1007627,17535,990092
2020-12-23,1018199,17823,1000376
2020-12-24,1030125,18057,1012068
2020-12-25,1041583,18255,1023328
2020-12-26,1049717,18389,1031328
2020-12-27,1056265,18472,1037793
2020-12-28,1061074,18555,1042519
2020-12-29,1068476,18801,1049675
2020-12-30,1076880,19058,1057822
2020-12-31,1086997,19281,1067716
2021-01-01,1096855,19437,1077418
2021-01-02,1102256,19498,1082758
2021-01-03,1107137,19630,1087507
2021-01-04,1111631,19712,1091919
2021-01-05,1117256,19929,1097327
2021-01-06,1124482,20171,1104311
2021-01-07,1133802,20334,1113468
2021-01-08,1139800,20432,1119368
2021-01-09,1144943,20526,1124417
2021-01-10,1150265,20641,1129624
2021-01-11,1154850,20719,1134131
2021-01-12,1160243,20915,1139328
2021-01-13,1166958,21121,1145837
2021-01-14,1175343,21300,1154043
2021-01-15,1183963,21479,1162484
2021-01-16,1192114,21637,1170477
2021-01-17,1198512,21767,1176745
2021-01-18,1201894,21847,1180047
2021-01-19,1206125,22037,1184088
2021-01-20,1210854,22264,1188590
2021-01-21,1216780,22521,1194259
2021-01-22,1222459,22698,1199761
2021-01-23,1227723,22830,1204893
2021-01-24,1231965,22926,1209039
2021-01-25,1234772,23001,1211771
2021-01-26,1237810,23148,1214662
2021-01-27,1241863,23307,1218556
2021-01-28,1247674,23469,1224205
2021-01-29,1253127,23610,1229517
2021-01-30,1258093,23769,1234324
2021-01-31,1261546,23860,1237686
2021-02-01,1263833,23931,1239902
2021-02-02,1266464,24100,1242364
2021-02-03,1270001,24276,1245725
2021-02-04,1275334,24429,1250905
2021-02-05,1280501,24599,1255902
2021-02-06,1285059,24735,1260324
2021-02-07,1288669,24828,1263841
2021-02-08,1291025,24884,1266141
2021-02-09,1293892,25022,1268870
2021-02-10,1297537,25195,1272342
2021-02-11,1302811,25330,1277481
2021-02-12,1307806,25457,1282349
2021-02-13,1313209,25578,1287631
2021-02-14,1316520,25631,1290889
2021-02-15,1319060,25702,1293358
2021-02-16,1322406,25862,1296544
2021-02-17,1326891,26017,1300874
2021-02-18,1333332,26191,1307141
2021-02-19,1340054,26320,1313734
2021-02-20,1346527,26404,1320123
2021-02-21,1351190,26470,1324720
2021-02-22,1354545,26531,1328014
2021-02-23,1358871,26690,1332181
2021-02-24,1364861,26847,1338014
2021-02-25,1373139,26991,1346148
2021-02-26,1381273,27146,1354127
2021-02-27,1389570,27306,1362264
2021-02-28,1395528,27404,1368124
2021-03-01,1399934,27480,1372454
2021-03-02,1405394,27650,1377744
2021-03-03,1412748,27844,1384904
2021-03-04,1422927,28046,1394881
2021-03-05,1433200,28227,1404973
2021-03-06,1442457,28392,1414065
2021-03-07,1449741,28502,1421239
2021-03-08,1455421,28616,1426805
2021-03-09,1458785,28698,1430087
2021-03-10,1465265,28925,1436340
2021-03-11,1474452,29195,1445257
2021-03-12,1487497,29434,1458063
2021-03-13,1500873,29684,1471189
2021-03-14,1509983,29835,1480148
2021-03-15,1516865,29969,1486896
2021-03-16,1526595,30239,1496356
2021-03-17,1538516,30535,1507981
2021-03-18,1553659,30811,1522848
2021-03-19,1569596,31078,1538518
2021-03-20,1584972,31344,1553628
2021-03-21,1596201,31514,1564687
2021-03-22,1604183,31677,1572506
2021-03-23,1615747,32018,1583729
2021-03-24,1630013,32368,1597645
2021-03-25,1646775,32737,1614038
2021-03-26,1665001,33068,1631933
2021-03-27,1682527,33363,1649164
2021-03-28,1694568,33571,1660997
2021-03-29,1703036,33752,1669284
2021-03-30,1713684,34043,1679641
2021-03-31,1725029,34456,1690573
2021-04-01,1742710,34885,1707825
2021-04-02,1762713,35326,1727387
2021-04-03,1783169,35729,1747440
2021-04-04,1797027,35994,1761033
2021-04-05,1807327,36255,1771072
2021-04-06,1820725,36692,1784033
2021-04-07,1836260,37178,1799082
2021-04-08,1855806,37649,1818157
2021-04-09,1875605,38074,1837531
2021-04-10,1893192,38479,1854713
2021-04-11,1905430,38718,1866712
2021-04-12,1913415,39012,1874403
2021-04-13,1925224,39477,1885747
2021-04-14,1939901,39950,1899951
2021-04-15,1956454,40389,1916065
2021-04-16,1974056,40832,1933224
2021-04-17,1989160,41278,1947882
2021-04-18,1999567,41534,1958033
2021-04-19,2006197,41755,1964442
2021-04-20,2015257,42129,1973128
2021-04-21,2027544,42565,1984979
2021-04-22,2043901,43041,2000860
2021-04-23,2058301,43483,2014818
2021-04-24,2071142,43884,2027258
2021-04-25,2079200,44121,2035079
2021-04-26,2084384,44323,2040061
2021-04-27,2092421,44763,2047658
2021-04-28,2102130,45211,2056919
2021-04-29,2113880,45607,2068273
2021-04-30,2124070,45923,2078147
2021-05-01,2132742,46281,2086461
2021-05-02,2137959,46447,2091512
2021-05-03,2140838,46607,2094231
2021-05-04,2143427,46781,2096646
2021-05-05,2146121,46950,2099171
2021-05-06,2152280,47331,2104949
2021-05-07,2160809,47717,2113092
2021-05-08,2169650,48095,2121555
2021-05-09,2175151,48294,2126857
2021-05-10,2178095,48419,2129676
2021-05-11,2180429,48544,2131885
2021-05-12,2185088,48908,2136180
2021-05-13,2192022,49261,2142761
2021-05-14,2199708,49554,2150154
2021-05-15,2206627,49881,2156746
2021-05-16,2210375,50019,2160356
2021-05-17,2212635,50132,2162503
2021-05-18,2216856,50425,2166431
2021-05-19,2222115,50658,2171457
2021-05-20,2227400,50867,2176533
2021-05-21,2232510,51076,2181434
2021-05-22,2237240,51260,2185980
2021-05-23,2239897,51353,2188544
2021-05-24,2241354,51425,2189929
2021-05-25,2244084,51682,2192402
2021-05-26,2247605,51898,2195707
2021-05-27,2251242,52088,2199154
2021-05-28,2254674,52252,2202422
2021-05-29,2257904,52414,2205490
2021-05-30,2259743,52504,2207239
2021-05-31,2260899,52573,2208326
2021-06-01,2263167,52742,2210425
2021-06-02,2265502,52907,2212595
2021-06-03,2268209,53015,2215194
2021-06-04,2270602,53117,2217485
2021-06-05,2272633,53211,2219422
2021-06-06,2273708,53258,2220450
2021-06-07,2274375,53295,2221080
2021-06-08,2276111,53420,2222691
2021-06-09,2277632,53503,2224129
2021-06-10,2279556,53607,2225949
2021-06-11,2281303,53683,2227620
2021-06-12,2282727,53758,2228969
2021-06-13,2283746,53795,2229951
2021-06-14,2284337,53812,2230525
2021-06-15,2285534,53894,2231640
2021-06-16,2286767,53980,2232787
2021-06-17,2288155,54041,2234114
2021-06-18,2289333,54097,2235236
2021-06-19,2290412,54142,2236270
2021-06-20,2291135,54171,2236964
2021-06-21,2291722,54192,2237530
2021-06-22,2292295,54220,2238075
2021-06-23,2293421,54299,2239122
2021-06-24,2294669,54366,2240303
2021-06-25,2295873,54429,2241444
2021-06-26,2296982,54473,2242509
2021-06-27,2297801,54498,2243303
2021-06-28,2298478,54517,2243961
2021-06-29,2299059,54531,2244528
2021-06-30,2300101,54581,2245520
2021-07-01,2301221,54644,2246577
2021-07-02,2302344,54687,2247657
2021-07-03,2303485,54735,2248750
2021-07-04,2304311,54758,2249553
2021-07-05,2305013,54784,2250229
2021-07-06,2306006,54815,2251191
2021-07-07,2307068,54860,2252208
2021-07-08,2308142,54894,2253248
2021-07-09,2309264,54917,2254347
2021-07-10,2310246,54949,2255297
2021-07-11,2311025,54964,2256061
2021-07-12,2311690,54981,2256709
2021-07-13,2312662,55030,2257632
2021-07-14,2313705,55066,2258639
2021-07-15,2314828,55097,2259731
2021-07-16,2316081,55124,2260957
2021-07-17,2317198,55151,2262047
2021-07-18,2318035,55170,2262865
2021-07-19,2318752,55183,2263569
2021-07-20,2319886,55221,2264665
2021-07-21,2321081,55245,2265836
2021-07-22,2322340,55279,2267061
2021-07-23,2323638,55311,2268327
2021-07-24,2324935,55347,2269588
2021-07-25,2325776,55369,2270407
2021-07-26,2326550,55381,2271169
2021-07-27,2327777,55420,2272357
2021-07-28,2329044,55449,2273595
2021-07-29,2330440,55489,2274951
2021-07-30,2331950,55521,2276429
2021-07-31,2333409,55556,2277853
2021-08-01,2334433,55577,2278856
2021-08-02,2335237,55596,2279641
2021-08-03,2336603,55643,2280960
2021-08-04,2338123,55707,2282416
2021-08-05,2339731,55755,2283976
2021-08-06,2341399,55792,2285607
2021-08-07,2343046,55836,2287210
2021-08-08,2344260,55867,2288393
2021-08-09,2345166,55890,2289276
2021-08-10,2346560,55937,2290623
2021-08-11,2348295,55977,2292318
2021-08-12,2350163,56021,2294142
2021-08-13,2352042,56085,2295957
2021-08-14,2354008,56126,2297882
2021-08-15,2355317,56159,2299158
2021-08-16,2356345,56190,2300155
2021-08-17,2357844,56237,2301607
2021-08-18,2359893,56297,2303596
2021-08-19,2362052,56352,2305700
2021-08-20,2364242,56399,2307843
2021-08-21,2366560,56457,2310103
2021-08-22,2368150,56498,2311652
2021-08-23,2369339,56526,2312813
2021-08-24,2370604,56573,2314031
2021-08-25,2371895,56616,2315279
2021-08-26,2374012,56682,2317330
2021-08-27,2376571,56769,2319802
2021-08-28,2379159,56847,2322312
2021-08-29,2381553,56900,2324653
2021-08-30,2382769,56934,2325835
2021-08-31,2384564,57004,2327560
2021-09-01,2387052,57066,2329986
2021-09-02,2389923,57129,2332794
2021-09-03,2393002,57192,2335810
2021-09-04,2395616,57236,2338380
2021-09-05,2397758,57287,2340471
2021-09-06,2398900,57319,2341581
2021-09-07,2401462,57392,2344070
2021-09-08,2404585,57472,2347113
2021-09-09,2408595,57552,2351043
2021-09-10,2412543,57648,2354895
2021-09-11,2416739,57735,2359004
2021-09-12,2419254,57772,2361482
2021-09-13,2420776,57797,2362979
2021-09-14,2424416,57913,2366503
2021-09-15,2429354,58025,2371329
2021-09-16,2435404,58146,2377258
2021-09-17,2442344,58265,2384079
2021-09-18,2448908,58363,2390545
2021-09-19,2453240,58422,2394818
2021-09-20,2455873,58477,2397396
2021-09-21,2461415,58629,2402786
2021-09-22,2468567,58754,2409813
2021-09-23,2476848,58895,2417953
2021-09-24,2486343,59053,2427290
2021-09-25,2495068,59202,2435866
2021-09-26,2500198,59281,2440917
2021-09-27,2503710,59384,2444326
2021-09-28,2510781,59540,2451241
2021-09-29,2520986,59768,2461218
2021-09-30,2533301,59980,2473321
2021-10-01,2545904,60164,2485740
2021-10-02,2558300,60380,2497920
2021-10-03,2566875,60514,2506361
2021-10-04,2572327,60634,2511693
2021-10-05,2582818,60970,2521848
2021-10-06,2596134,61309,2534825
2021-10-07,2611928,61637,2550291
2021-10-08,2628975,61893,2567082
2021-10-09,2645597,62157,2583440
2021-10-10,2657699,62332,2595367
2021-10-11,2667304,62550,2604754
2021-10-12,2680076,62921,2617155
2021-10-13,2697176,63414,2633762
2021-10-14,2716867,63847,2653020
2021-10-15,2731325,64068,2667257
2021-10-16,2745165,64367,2680798
2021-10-17,2757328,64603,2692725
2021-10-18,2767743,64797,2702946
2021-10-19,2784227,65359,2718868
2021-10-20,2804050,65876,2738174
2021-10-21,2827388,66447,2760941
2021-10-22,2852109,67087,2785022
2021-10-23,2876288,67597,2808691
2021-10-24,2898049,68008,2830041
2021-10-25,2913666,68365,2845301
2021-10-26,2933778,69130,2864648
2021-10-27,2957359,69854,2887505
2021-10-28,2984456,70475,2913981
2021-10-29,3012370,71141,2941229
2021-10-30,3039616,71710,2967906
2021-10-31,3058108,72073,2986035
2021-11-01,3073125,72402,3000723
2021-11-02,3093661,73136,3020525
2021-11-03,3118140,73888,3044252
2021-11-04,3146617,74617,3072000
2021-11-05,3174223,75346,3098877
2021-11-06,3200411,76175,3124236
2021-11-07,3218967,76657,3142310
2021-11-08,3233178,77156,3156022
2021-11-09,3253327,78017,3175310
2021-11-10,3277772,78865,3198907
2021-11-11,3303694,79548,3224146
2021-11-12,3328934,80330,3248604
2021-11-13,3353694,81054,3272640
2021-11-14,3369387,81482,3287905
2021-11-15,3381399,81948,3299451
2021-11-16,3398913,82813,3316100
2021-11-17,3418792,83609,3335183
2021-11-18,3440602,84393,3356209
2021-11-19,3461873,85151,3376722
2021-11-20,3481347,85847,3395500
2021-11-21,3493203,86260,3406943
2021-11-22,3501815,86615,3415200
2021-11-23,3515641,87371,3428270
2021-11-24,3530969,87999,3442970
2021-11-25,3548842,88664,3460178
2021-11-26,3565644,89307,3476337
2021-11-27,3580671,89911,3490760
2021-11-28,3588916,90345,3498571
2021-11-29,3595410,90673,3504737
2021-11-30,3606622,91268,3515354
2021-12-01,3619223,91860,3527363
2021-12-02,3633386,92418,3540968
2021-12-03,3647777,92960,3554817
2021-12-04,3661583,93426,3568157
2021-12-05,3668794,93734,3575060
2021-12-06,3673839,94002,3579837
2021-12-07,3683044,94499,3588545
2021-12-08,3692939,94979,3597960
2021-12-09,3705823,95478,3610345
2021-12-10,3717640,95952,3621688
2021-12-11,3728246,96427,3631819
2021-12-12,3733967,96695,3637272
2021-12-13,3738390,96910,3641480
2021-12-14,3746106,97328,3648778
2021-12-15,3754567,97714,3656853
2021-12-16,3764485,98097,3666388
2021-12-17,3773700,98453,3675247
2021-12-18,3781506,98769,3682737
2021-12-19,3785395,98972,3686423
2021-12-20,3788209,99153,3689056
2021-12-21,3794490,99528,3694962
2021-12-22,3801079,99856,3701223
2021-12-23,3808612,100159,3708453
2021-12-24,3815440,100433,3715007
2021-12-25,3820891,100727,3720164
2021-12-26,3823879,100891,3722988
2021-12-27,3825917,101049,3724868
2021-12-28,3828336,101212,3727124
2021-12-29,3833952,101548,3732404
2021-12-30,3840041,101847,3738194
2021-12-31,3847226,102088,3745138
2022-01-01,3852397,102300,3750097
2022-01-02,3854405,102421,3751984
2022-01-03,3856359,102558,3753801
2022-01-04,3858248,102717,3755531
2022-01-05,3862959,103014,3759945
2022-01-06,3869728,103225,3766503
2022-01-07,3877032,103434,3773598
2022-01-08,3880371,103523,3776848
2022-01-09,3883316,103615,3779701
2022-01-10,3885416,103716,3781700
2022-01-11,3890974,103950,3787024
2022-01-12,3898240,104159,3794081
2022-01-13,3908469,104367,3804102
2022-01-14,3919151,104521,3814630
2022-01-15,3929950,104663,3825287
2022-01-16,3936582,104765,3831817
2022-01-17,3941923,104856,3837067
2022-01-18,3950774,105059,3845715
2022-01-19,3963917,105236,3858681
2022-01-20,3982738,105380,3877358
2022-01-21,4003280,105545,3897735
2022-01-22,4026198,105693,3920505
2022-01-23,4042152,105791,3936361
2022-01-24,4055643,105871,3949772
2022-01-25,4075351,106047,3969304
2022-01-26,4100292,106205,3994087
2022-01-27,4133396,106373,4027023
2022-01-28,4168560,106529,4062031
2022-01-29,4206731,106690,4100041
2022-01-30,4232143,106793,4125350
2022-01-31,4255206,106880,4148326
2022-02-01,4287117,107086,4180031
2022-02-02,4323009,107303,4215706
2022-02-03,4363754,107524,4256230
2022-02-04,4408776,107712,4301064
2022-02-05,4452612,107907,4344705
2022-02-06,4481918,108027,4373891
2022-02-07,4506669,108151,4398518
2022-02-08,4542568,108417,4434151
2022-02-09,4582137,108668,4473469
2022-02-10,4625614,108958,4516656
2022-02-11,4668581,109206,4559375
2022-02-12,4708604,109483,4599121
2022-02-13,4735258,109635,4625623
2022-02-14,4753922,109788,4644134
2022-02-15,4785138,110105,4675033
2022-02-16,4818112,110427,4707685
2022-02-17,4853339,110698,4742641
2022-02-18,4890332,110989,4779343
2022-02-19,4923680,111261,4812419
2022-02-20,4943428,111423,4832005
2022-02-21,4959461,111561,4847900
2022-02-22,4986161,111862,4874299
2022-02-23,5012980,112173,4900807
2022-02-24,5040518,112459,4928059
2022-02-25,5040518,112459,4928059
2022-02-26,5040518,112459,4928059
2022-02-27,5040518,112459,4928059
2022-02-28,5040518,112459,4928059
2022-03-01,5040518,112459,4928059
2022-03-02,5040518,112459,4928059
2022-03-03,5040518,112459,4928059
2022-03-04,5040518,112459,4928059
2022-03-05,5040518,112459,4928059
2022-03-06,5040518,112459,4928059
2022-03-07,5040518,112459,4928059
2022-03-08,5040518,112459,4928059
2022-03-09,5040518,112459,4928059
2022-03-10,5040518,112459,4928059
2022-03-11,5040518,112459,4928059
2022-03-12,5040518,112459,4928059
2022-03-13,5040518,112459,4928059
2022-03-14,5040518,112459,4928059
2022-03-15,5040518,112459,4928059
2022-03-16,5040518,112459,4928059
2022-03-17,5040518,112459,4928059
2022-03-18,5040518,112459,4928059
2022-03-19,5040518,112459,4928059
2022-03-20,5040518,112459,4928059
2022-03-21,5040518,112459,4928059
2022-03-22,5040518,112459,4928059
2022-03-23,5040518,112459,4928059
2022-03-24,5040518,112459,4928059
2022-03-25,5040518,112459,4928059
2022-03-26,5040518,112459,4928059
2022-03-27,5040518,112459,4928059
2022-03-28,5040518,112459,4928059
2022-03-29,5040518,112459,4928059
2022-03-30,5040518,112459,4928059
2022-03-31,5040518,112459,4928059
2022-04-01,5040518,112459,4928059
2022-04-02,5040518,112459,4928059
2022-04-03,5040518,112459,4928059
2022-04-04,5040518,112459,4928059
2022-04-05,5040518,112459,4928059
2022-04-06,5040518,112459,4928059
2022-04-07,5040518,112459,4928059
2022-04-08,5040518,112459,4928059
2022-04-09,5040518,112459,4928059
2022-04-10,5040518,112459,4928059
2022-04-11,5040518,112459,4928059
2022-04-12,5040518,112459,4928059
2022-04-13,5040518,112459,4928059
2022-04-14,5040518,112459,4928059
2022-04-15,5040518,112459,4928059
2022-04-16,5040518,112459,4928059
2022-04-17,5040518,112459,4928059
2022-04-18,5040518,112459,4928059
2022-04-19,5040518,112459,4928059
2022-04-20,5040518,112459,4928059
2022-04-21,5040518,112459,4928059
2022-04-22,5040518,112459,4928059
2022-04-23,5040518,112459,4928059
2022-04-24,5040518,112459,4928059
2022-04-25,5040518,112459,4928059
2022-04-26,5040518,112459,4928059
2022-04-27,5040518,112459,4928059
2022-04-28,5040518,112459,4928059
2022-04-29,5040518,112459,4928059
2022-04-30,5040518,112459,4928059
2022-05-01,5040518,112459,4928059
2022-05-02,5040518,112459,4928059
2022-05-03,5040518,112459,4928059
2022-05-04,5040518,112459,4928059
2022-05-05,5040518,112459,4928059
2022-05-06,5040518,112459,4928059
2022-05-07,5040518,112459,4928059
2022-05-08,5040518,112459,4928059
2022-05-09,5040518,112459,4928059
2022-05-10,5040518,112459,4928059
2022-05-11,5040518,112459,4928059
2022-05-12,5040518,112459,4928059
2022-05-13,5040518,112459,4928059
2022-05-14,5040518,112459,4928059
2022-05-15,5040518,112459,4928059
2022-05-16,5040518,112459,4928059
2022-05-17,5040518,112459,4928059
2022-05-18,5040518,112459,4928059
2022-05-19,5040518,112459,4928059